freq_Hz,pristine|Zre,pristine|-Zim,ref_mesh (pp_040x053)|Zre,ref_mesh (pp_040x053)|-Zim,best (pp_015x015)|Zre,best (pp_015x015)|-Zim
0.1,0.55977,4e-05,0.43513,4e-05,0.42488,4e-05
0.1314,0.55977,5e-05,0.43513,5e-05,0.42488,5e-05
0.1727,0.55977,6e-05,0.43512,6e-05,0.42487,6e-05
0.227,0.55976,8e-05,0.43512,8e-05,0.42487,8e-05
0.2982,0.55975,0.0001,0.43511,0.0001,0.42486,0.0001
0.3919,0.55973,0.00013,0.43509,0.00013,0.42484,0.00013
0.5151,0.55971,0.00016,0.43506,0.00016,0.42481,0.00016
0.6769,0.55967,0.00019,0.43503,0.00019,0.42478,0.00019
0.8895,0.55962,0.00021,0.43498,0.00021,0.42473,0.00021
1.169,0.55957,0.00022,0.43492,0.00022,0.42467,0.00022
1.5362,0.55951,0.00021,0.43487,0.00021,0.42462,0.00021
2.0188,0.55946,0.00019,0.43482,0.00019,0.42457,0.00019
2.6529,0.55942,0.00017,0.43478,0.00017,0.42453,0.00017
3.4864,0.55939,0.00015,0.43475,0.00015,0.4245,0.00015
4.5816,0.55937,0.00013,0.43473,0.00013,0.42448,0.00012
6.0209,0.55936,0.00011,0.43472,0.00011,0.42447,0.00011
7.9123,0.55935,0.0001,0.4347,0.0001,0.42445,0.0001
10.398,0.55934,9e-05,0.43469,9e-05,0.42444,9e-05
13.6645,0.55933,9e-05,0.43468,8e-05,0.42443,8e-05
17.9571,0.55932,8e-05,0.43467,7e-05,0.42443,7e-05
23.5983,0.55931,9e-05,0.43467,7e-05,0.42442,7e-05
31.0117,0.5593,9e-05,0.43466,7e-05,0.42441,7e-05
40.7539,0.5593,0.0001,0.43465,7e-05,0.42441,7e-05
53.5567,0.55929,0.00011,0.43465,8e-05,0.4244,8e-05
70.3814,0.55929,0.00013,0.43464,9e-05,0.4244,9e-05
92.4915,0.55928,0.00016,0.43464,0.00011,0.42439,0.0001
121.5474,0.55928,0.0002,0.43464,0.00013,0.42439,0.00012
159.7312,0.55928,0.00025,0.43463,0.00016,0.42439,0.00015
209.9104,0.55928,0.00032,0.43463,0.0002,0.42438,0.00019
275.8532,0.55927,0.00041,0.43463,0.00025,0.42438,0.00024
362.5117,0.55927,0.00053,0.43463,0.00032,0.42438,0.00031
476.3938,0.55927,0.00069,0.43462,0.00042,0.42438,0.0004
626.0517,0.55927,0.0009,0.43462,0.00055,0.42437,0.00052
822.7241,0.55926,0.00118,0.43462,0.00072,0.42437,0.00067
1081.1808,0.55926,0.00154,0.43462,0.00094,0.42437,0.00088
1420.8308,0.55925,0.00202,0.43461,0.00123,0.42436,0.00116
1867.1811,0.55924,0.00266,0.4346,0.00161,0.42436,0.00152
2453.7511,0.55922,0.00349,0.43459,0.00211,0.42434,0.00199
3224.5905,0.55918,0.00458,0.43457,0.00277,0.42432,0.00261
4237.5872,0.55912,0.00602,0.43453,0.00364,0.42429,0.00343
5568.814,0.55902,0.00791,0.43447,0.00478,0.42423,0.0045
7318.2422,0.55884,0.01038,0.43436,0.00628,0.42412,0.00591
9617.2487,0.55854,0.01362,0.43417,0.00824,0.42394,0.00776
12638.482,0.55802,0.01786,0.43384,0.0108,0.42364,0.01017
16608.8278,0.55712,0.02339,0.43329,0.01414,0.42311,0.01332
21826.4473,0.55559,0.03054,0.43234,0.01847,0.42221,0.01739
28683.1681,0.55299,0.03971,0.43073,0.024,0.42068,0.0226
37693.9098,0.54864,0.05124,0.42802,0.03096,0.41812,0.02914
49535.3521,0.54152,0.06531,0.42359,0.03943,0.41393,0.0371
65096.7523,0.53023,0.08163,0.41656,0.04921,0.40727,0.04628
85546.7254,0.51326,0.09904,0.40596,0.05952,0.39726,0.05592
112421.0035,0.48959,0.11524,0.39119,0.06881,0.38332,0.06457
147737.7653,0.45965,0.12711,0.37263,0.07499,0.36586,0.07023
194149.1946,0.42581,0.1319,0.35209,0.07626,0.34661,0.07123
255140.652,0.39177,0.12856,0.3323,0.0722,0.32817,0.06725
335292.4149,0.36111,0.11809,0.31564,0.06409,0.31273,0.05953
440623.6428,0.33616,0.10294,0.30313,0.05402,0.30121,0.05007
579044.3981,0.31764,0.08596,0.29455,0.04386,0.29334,0.04058
760949.6685,0.30492,0.06948,0.28902,0.03473,0.28828,0.0321
1000000.0,0.29669,0.05491,0.28561,0.02706,0.28516,0.025
