j_set_mAcm2,pristine,phi=0.15,phi=0.24,phi=0.35,phi=0.50,phi=0.65,phi=0.80
10,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0
20,1482.4,1482.5,1482.5,1482.4,1482.4,1482.4,1482.4
50,1515.8,1515.4,1515.4,1515.4,1515.4,1515.4,1515.4
100,1552.3,1550.1,1550.1,1550.2,1550.3,1550.4,1550.6
200,1612.3,1602.9,1603.1,1603.4,1604.0,1604.7,1605.6
300,1667.6,1648.9,1649.4,1650.0,1651.2,1652.7,1654.5
400,1719.7,1692.0,1692.7,1693.8,1695.6,1697.9,1700.8
500,1770.3,1733.3,1734.3,1735.7,1738.1,1741.2,1745.1
625,1834.4,1783.2,1784.5,1786.3,1789.4,1793.3,1798.2
750,1899.3,1831.6,1833.1,1835.3,1839.0,1843.6,1849.3
875,1965.5,1878.8,1880.5,1883.0,1887.2,1892.3,1898.7
1000,2033.3,1925.0,1926.9,1929.7,1934.2,1939.7,1946.6
1250,2174.9,2015.2,2017.4,2020.5,2025.6,2031.8,2039.4
1500,2325.0,2103.1,2105.5,2108.9,2114.3,2121.0,2129.1
2000,2652.5,2275.1,2277.7,2281.4,2287.4,2294.5,2303.3
2250,2830.0,2360.2,2362.9,2366.7,2372.8,2380.2,2389.2
